PAUTA,BREVE DESCRIPCION,COPY,MATERIAL,FECHA DE PUBLI,ESTADO,PRODUCTOS,CANAL,PAUTA ,FB Likes,FB ALCANCE,Ig Likes,IG ALCANCE,TT LIKES,TT ALCANCE,RESPONSABLE
PAUTA ,GLACIAR ,"TESTIGO DE LA ÚLTIMA GLACIACIÓN ❄️
La excursión al Glaciar Torrecillas te lleva a descubrir uno de los paisajes más prístinos del Parque Nacional Los Alerces. 
Para vivir esta aventura, primero se navega desde Puerto Chucao, luego se recorre un sendero a pie y finalmente se accede a un entorno único que regala una experiencia inolvidable.
📍 Parque Nacional Los Alerces
🚤 Acceso mediante navegación + trekking
📲 Más información: +54 2945 529616
#EsquelMiDestino #TurismoArgentina #Trekking #Patagonia #PatagoniaArgentina #Esquel ",,8/9/2025,,,,,,,,,,,
PAUTA ,ESQUEL ,"ESQUEL, TU PRÓXIMO DESTINO EN LA PATAGONIA
Entre bosques y la inmensidad de la estepa, Esquel te invita a elegir tu propia aventura:
🌿 Relajarte en plena naturaleza
⛰️ Vivir la adrenalina y la aventura
🏛️ Conectar con el patrimonio histórico
🎨 Sorprenderte con los colores de cada estación
📲 Más información: +54 2945 529616
Vení a Esquel, recorré la Patagonia y descubrí tu lugar favorito.
#EsquelMiDestino #PatagoniaArgentina #experienciaesquel ",,26/9/2025,,,,,,,,,,,
PAUTA,CIRCUITO BINACIONAL ,"CIRCUITO BINACIONAL 🇦🇷 🇨🇱🤝 
Argentina y Chile: de la Cordillera al mar en una experiencia memorable ✨
🚐 Esquel puede ser tu punto de partida para pasar de la mítica Ruta 40 a la deslumbrante Carretera Austral, del Parque Nacional Los Alerces al Parque Nacional Pumalín pasando entre montañas, lagos, volcanes y una exuberante vegetación. 
💫Reviví la historia, recorré la Cordillera de los Andes y conocé el Pacífico.
@navieraustral
#ruta40 #carreteraaustral #patagonia #patagoniaargentina #turismoargentina #chile #patagoniachilena #esquel ",,14/10/2025,,,,,,,,,,,
PAUTA ,VUELTA A NAHUELPAN ,"YA ESTÁS PENSANDO EN TU PRÓXIMO DESAFÍO PARA EL 2026? 🚴🏽
Así se vivió la 4.ª edición de la Vuelta al Nahuelpan.
Una carrera tan exigente como épica, que reunió a más de 270 ciclistas en una jornada de sol,
calor y paisajes que inspiraron a cada participante.
Una vez más, Esquel demostró ser un destino ideal para los deportes de montaña.
🤝 Felicitamos a cada uno de los corredores y a quienes hacen posible la organización de 
eventos que integran naturaleza, turismo y deporte.
🚩 Esquel, Capital Provincial del Turismo Deportivo.
@vueltanahuelpanoficial",,13/11/2025,,,,,,,,,,,
PAUTA ,ENTRENAMIENTO -COCO ,"ESQUEL: DONDE EL ENTRENAMIENTO SE VUELVE INSPIRACIÓN.
Vení a buscar tu mejor versión en un ambiente vibrante y preparate para tu próxima competencia de la mejor manera.
Nuestra ciudad es mucho más que un destino; es un centro de alto rendimiento natural. Por eso, junto a grandes referentes como @eulaliomjr, lanzamos esta propuesta para que runners y atletas de todos los niveles vengan a descubrir por qué somos la Capital del Turismo Deportivo.
¿Estás listo para el desafío? Esquel te espera. 🙌
#Esquel #Running #EulalioMuñoz #PatagoniaArgentina #Entrenamiento TrailRunning",,18/2/2026,,,,,,,,,,,
PAUTA ,TROCHITA OTOÑO ,"BIENVENIDO, OTOÑO 🍂
Subir a La Trochita en otoño es sentir el cambio de estación a través de los colores.
El aire fresco, el vapor de la locomotora y el traqueteo clásico del antiguo tren hacen que quieras repetir esta experiencia una y otra vez.
Si querés conocer las fechas de salidas y reservar tu lugar, visitá: latrochita.org.ar
#Esquel #Patagonia #PatagoniaArgentina #LaTrochita #turismoargentina ",,25/3/2026,,,,,,,,,,,
,ECLIPSE ,,images (5).jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/Om76F4X3rKtxQc3XPrTdHw/6kP0Pp_-2eOkGGPZEo9MHUP7c2hwfY1egq7mR6HLdXj_znibAVAedA8ZT-UTs8MOZ73ek1nNDT2lnF9iq7QalxizV3vz7uo1RNz3o1quW8xzITbjABAzB99ins_8ksbwbiMzUXMjEEabQminuz3IviVPjAMzdhDmxbM7z0dmhiI/6DclTcWaKrFvngEtVBvILrGjZO33KBQnR7SWF5zmBPk),,,,,,,,,,,,
PAUTA ,Eulalio Coco Muñoz,"¿TE IMAGINÁS ENTRENANDO EN ESQUEL? 🏃‍♂️

Salir a correr en Esquel es mucho más que hacer ejercicio: es conectar con un entorno natural que potencia cada paso.

Acá, la calma marca el ritmo. La tranquilidad de nuestra ciudad te permite concentrarte  sin distracciones, sin ruido, para que puedas enfocarte solo en superarte.

Paisajes imponentes, aire puro y escenarios que cambian en cada recorrido. 

¡No lo dudes! Y disfrutá de Esquel como lo hace @eulaliomjr 💪

#Esquel #Patagonia #PatagoniaArgentina #Running #Runner",,18/4/2026,PUBLICADO ,DEPORTIVO,"FACEBOOK,INSTAGRAM,TIKTOK",,,,362.0,181037.0,,,Yago Miguens
,CARRUSEL DE LA TROCHITA,"MUCHO MÁS QUE UN VIAJE EN TREN 🚂

La Trochita es historia viva y paisajes que asombran. 

El trayecto parte desde la estación de Esquel y llega hasta Nahuelpan, en un recorrido de 18 km.

Para planificar tu visita, consultá las frecuencias y reservá tus boletos con anticipación.
 
latrochita.org.ar 👈

#LaTrochita #Esquel #EsquelTeHaceBien #PatagoniaArgentina #Turismo",,20/4/2026,PUBLICADO ,CULTURAL,"FACEBOOK,INSTAGRAM",,,,328.0,9868.0,,,Marcela Cristina Mathon
,DÍA DE LA TIERRA,"LO QUE SE AMA, SE CUIDA. ASÍ DE SIMPLE.

Perdernos en el bosque y que el cuerpo encuentre su ritmo... En esa simpleza, la naturaleza nos enseña su valor más profundo.

En este Día de la Tierra no buscamos grandes discursos, sino volver a conectar con lo esencial; porque estar presente en nuestro entorno es la mejor forma de agradecerlo.

 📍 Camino a La Hoya - Curva de los Guanacos 

#Esquel #PatagoniaArgentina #DiaDeLaTierra #bosque #senderos",WhatsApp Image 2026-06-11 at 9.34.24 AM (1).jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/OGrJNHChKPe0G_8dB1v6Uw/T3nIkEWb3GI3k8sdIDgHkflRrgwZupBRx6QQA-_o0UxofizdckaupAHdrHEzei3mq31VuB3lolDUo8wNk3udibgrezsWigL2LSOIlG-O_BiZOUWkiRKfFtD2EIM2Y4fQ6tN5SjlUitsCsUwpNfyWPL1TKSSAQrBLppIonHnJ_wSu1o5Ml-GjSzpPEPjT_Ak6/PrP0C0ePp88FdXKmRVjsttf-ToUKW56eqQLdtW_ak54),22/4/2026,PUBLICADO ,"NATURALEZA,PAISAJE","FACEBOOK,INSTAGRAM,TIKTOK",,,,479.0,16790.0,,,Marcela Cristina Mathon
,3 MOTIVOS PARA VISITAR ESQUEL EN OTOÑO,"3 MOTIVOS PARA VISITAR ESQUEL EN OTOÑO

🍂 Colores inolvidables
Los bosques se tiñen de matices que parecen sacados de una postal, creando un espectáculo visual único.

🌄 Menos gente, más calma
Es la temporada ideal si buscás desconectar de verdad y disfrutar del silencio de la naturaleza.

🚴 Clima perfecto para la aventura
Días con temperaturas agradables para disfrutar del trekking o el mountainbike. 

¡Te estamos esperando!

#Esquel #Otoño #Patagonia #Senderos #PatagoniaArgentina",IMG_6810.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/zNlmkeMkocEtTvVk-_bjPw/e-5N2Bsg87sd9yYD2-id7xpUk4iH6s9gmCaL-h1QihcCKJdkInnWhpSJjhA2mYY7fPxqcwI1g534_y6Lu4GXHSLWvsEiEZBRvOjsMCFA4hSujmobXVpKdUfIv6laGgO2s69C8iuJbm3hispU64Xqsw3ptjcr1nfm09q0JX4naQ8/uZ2UyF_CZEitehPdz0_UxRJhBBaS2-YHrJdF4sDZWT0),23/4/2026,PUBLICADO ,"NATURALEZA,PAISAJE","FACEBOOK,INSTAGRAM",,,,118.0,4900.0,,,Marcela Cristina Mathon
