# SEMILLA — coord_verified=false en todas las filas.
# Las coordenadas son aproximadas y sirven para arrancar. ANTES de publicar
# cualquier indicador de tarifa/km o de paridad hedónica, validar contra el
# dataset de OurAirports y poner coord_verified=true (docs/02 §3).
# Los códigos OACI hacen falta porque los datasets de ANAC pueden usar OACI en
# lugar de IATA (verificar en F0-4).
iata,icao,name,city,province,latitude,longitude,is_city_code,tier,coord_verified
BUE,,Buenos Aires (código de ciudad),Buenos Aires,Buenos Aires,-34.5592,-58.4156,true,0,false
AEP,SABE,Aeroparque Jorge Newbery,Buenos Aires,Buenos Aires,-34.5592,-58.4156,false,0,false
EZE,SAEZ,Ministro Pistarini,Ezeiza,Buenos Aires,-34.8222,-58.5358,false,0,false
COR,SACO,Ingeniero Ambrosio Taravella,Córdoba,Córdoba,-31.3236,-64.2080,false,0,false
EQS,SAVE,Brigadier General Antonio Parodi,Esquel,Chubut,-42.9080,-71.1395,false,1,false
BRC,SAZS,Teniente Luis Candelaria,San Carlos de Bariloche,Río Negro,-41.1512,-71.1575,false,2,false
CPC,SAZY,Aviador Carlos Campos (Chapelco),San Martín de los Andes,Neuquén,-40.0754,-71.1373,false,2,false
PMY,SAVY,El Tehuelche,Puerto Madryn,Chubut,-42.7592,-65.1027,false,3,false
REL,SAVT,Almirante Marcos A. Zar,Trelew,Chubut,-43.2105,-65.2703,false,3,false
CRD,SAVC,General Enrique Mosconi,Comodoro Rivadavia,Chubut,-45.7853,-67.4655,false,3,false
USH,SAWH,Malvinas Argentinas,Ushuaia,Tierra del Fuego,-54.8433,-68.2958,false,3,false
FTE,SAWC,Comandante Armando Tola,El Calafate,Santa Cruz,-50.2803,-72.0533,false,3,false
MDZ,SAME,El Plumerillo,Mendoza,Mendoza,-32.8317,-68.7929,false,4,false
NQN,SAZN,Presidente Perón,Neuquén,Neuquén,-38.9490,-68.1557,false,4,false
IGR,SARI,Cataratas del Iguazú,Puerto Iguazú,Misiones,-25.7373,-54.4734,false,4,false
SLA,SASA,Martín Miguel de Güemes,Salta,Salta,-24.8560,-65.4862,false,4,false
JUJ,SASJ,Gobernador Horacio Guzmán,San Salvador de Jujuy,Jujuy,-24.3928,-65.0978,false,4,false
TUC,SANT,Teniente General Benjamín Matienzo,San Miguel de Tucumán,Tucumán,-26.8409,-65.1049,false,4,false
RGL,SAWG,Piloto Civil Norberto Fernández,Río Gallegos,Santa Cruz,-51.6089,-69.3126,false,4,false
RGA,SAWE,Río Grande,Río Grande,Tierra del Fuego,-53.7777,-67.7494,false,4,false
BHI,SAZB,Comandante Espora,Bahía Blanca,Buenos Aires,-38.7250,-62.1693,false,4,false
ROS,SAAR,Islas Malvinas,Rosario,Santa Fe,-32.9036,-60.7850,false,4,false
MDQ,SAZM,Astor Piazzolla,Mar del Plata,Buenos Aires,-37.9342,-57.5733,false,4,false
